freq_MHz,pri_us,pw_us,doa_deg,amp_dB,toa_us,Emitter_ID
8624.2,1817.14,43.46,254.67,-38.15,1557.53,0
8616.3,2436.93,44.57,257.17,-38.48,3374.67,2
8618.73,2709.33,40.12,257.14,-37.6,5811.6,0
8612.97,1886.7,45.48,254.13,-39.54,8520.93,0
8629.64,2399.11,41.57,254.2,-38.84,10407.63,0
8624.64,2616.06,47.33,256.3,-38.55,12806.74,0
8614.91,1889.31,46.4,260.22,-38.11,15422.8,0
8640.4,2451.14,44.84,251.89,-37.66,17312.11,2
8615.54,2601.01,44.55,254.36,-39.94,19763.25,2
8616.02,1877.79,46.16,256.3,-38.2,22364.27,0
8630.6,2441.33,44.27,257.24,-38.62,24242.05,2
8616.28,2678.05,47.4,251.76,-37.74,26683.38,0
8603.53,1883.99,42.56,256.47,-38.99,29361.43,0
8627.31,2368.92,44.02,254.79,-37.42,31245.42,2
8641.92,2649.86,45.31,252.85,-39.8,33614.34,0
8625.88,1842.3,46.0,256.32,-38.02,36264.2,0
8609.31,2470.42,44.41,253.0,-38.79,38106.5,2
8609.99,2608.57,46.32,254.25,-39.24,40576.92,0
8621.4,1856.82,41.63,252.87,-38.25,43185.49,0
8611.48,2517.41,44.3,253.09,-39.19,45042.31,2
8681.34,2814.42,31.1,24.28,-42.58,507830.83,3
8676.61,2870.45,31.93,26.23,-41.45,510645.24,3
8648.18,2960.18,35.81,25.82,-42.73,513515.7,0
8666.27,2916.91,31.32,24.07,-42.54,516475.87,3
8685.34,2852.66,31.61,24.12,-40.59,519392.78,3
8673.97,2851.11,33.71,24.8,-43.47,522245.44,3
8667.8,2938.11,33.02,18.42,-42.04,525096.55,3
8682.43,2826.89,33.42,27.11,-42.12,528034.66,3
8666.91,2845.01,32.35,24.12,-42.46,530861.56,3
8678.18,2866.61,32.62,25.29,-43.58,533706.57,3
8674.25,2881.14,33.81,22.91,-41.87,536573.18,3
8684.19,2768.69,34.21,21.39,-43.61,539454.32,3
8644.37,2828.87,32.32,22.59,-42.98,542223.01,3
8662.04,2924.92,33.87,24.2,-44.41,545051.88,3
8695.9,2883.51,33.2,20.36,-42.53,547976.81,3
8677.3,2866.96,33.73,25.96,-43.86,550860.31,3
8681.67,2897.73,32.32,20.22,-41.04,553727.27,3
8677.13,2772.52,31.93,24.02,-42.01,556625.0,3
8671.89,2894.7,35.75,26.45,-43.47,559397.52,0
8667.2,2868.66,29.5,20.68,-44.14,562292.22,0
11368.3,5602.57,13.38,240.71,-46.19,717293.56,4
11369.57,5513.93,13.12,238.51,-47.12,722896.13,4
11369.52,5742.42,12.46,241.36,-48.17,728410.06,4
11396.86,5582.77,13.59,241.91,-46.47,734152.48,4
11380.4,5504.96,13.44,240.59,-45.4,739735.25,4
11375.34,5677.22,11.99,240.08,-46.19,745240.2,4
11363.77,5492.34,12.27,243.29,-44.83,750917.43,4
11370.08,5542.88,12.6,241.98,-46.03,756409.77,4
11398.2,5746.02,13.88,240.69,-46.53,761952.65,4
11370.92,5642.27,12.65,241.05,-47.22,767698.66,4
11371.36,5845.54,14.17,240.61,-46.94,773340.94,4
11382.1,6084.67,12.87,243.56,-45.07,779186.48,0
11380.29,5826.03,13.21,243.68,-47.65,785271.15,4
11378.9,5775.12,13.12,243.89,-46.17,791097.18,4
11365.4,5787.71,12.25,240.21,-47.03,796872.3,4
11375.74,5543.46,13.53,239.3,-45.04,802660.01,4
11365.6,5866.72,12.8,238.18,-47.66,808203.48,4
11390.12,5771.39,12.77,237.18,-45.22,814070.2,4
11395.56,5913.18,12.42,242.38,-46.12,819841.59,4
11361.58,5740.72,13.5,243.14,-47.72,825754.77,4
10953.74,2935.33,24.59,180.73,-39.68,779236.17,5
10962.31,2873.67,20.89,181.01,-37.64,782171.5,0
10956.21,2967.67,25.52,182.11,-38.89,785045.17,5
10964.6,2956.23,25.18,175.88,-40.16,788012.84,5
10968.5,2939.14,25.16,176.41,-39.33,790969.06,5
