freq_MHz,pri_us,pw_us,doa_deg,amp_dB,toa_us,Emitter_ID
8994.44,2000.0,10.16,90.56,-58.99,749080.24,2
8997.1,2000.0,9.74,88.86,-60.92,751080.24,3
8986.94,2000.0,10.48,91.63,-61.52,753080.24,0
8997.86,2000.0,9.63,88.59,-62.14,755080.24,3
8996.85,2000.0,10.3,95.12,-59.61,757080.24,3
9000.61,2000.0,9.74,88.8,-59.05,759080.24,4
9001.46,2000.0,9.68,87.96,-60.16,761080.24,4
8997.33,2000.0,10.0,89.54,-59.61,763080.24,3
8993.67,2000.0,10.55,95.56,-58.81,765080.24,2
9001.09,2000.0,10.44,87.98,-61.58,767080.24,4
9003.87,2000.0,9.73,87.31,-60.88,769080.24,5
8994.35,2000.0,10.07,91.16,-59.11,771080.24,2
9004.47,2000.0,10.38,89.59,-60.62,773080.24,5
8992.46,2000.0,10.55,89.64,-60.41,775080.24,0
9005.9,2000.0,9.55,91.67,-59.7,777080.24,0
8994.81,2000.0,9.96,91.95,-59.2,779080.24,2
9007.48,2000.0,10.17,96.74,-60.92,781080.24,0
8998.01,2000.0,9.97,87.16,-58.96,783080.24,3
9004.52,2000.0,10.01,88.93,-61.5,785080.24,5
8996.05,2000.0,10.37,89.58,-60.43,787080.24,0
9004.58,2000.0,10.16,88.94,-59.49,322442.57,5
9000.49,2000.0,10.48,88.6,-60.33,324442.57,4
8998.04,2000.0,9.27,90.59,-59.74,326442.57,3
9000.03,2000.0,9.88,87.17,-60.42,328442.57,4
8998.29,2000.0,9.6,89.68,-59.6,330442.57,3
9009.43,2000.0,10.09,90.52,-60.07,332442.57,0
8990.41,2000.0,9.99,90.12,-57.54,334442.57,0
8999.04,2000.0,10.15,89.93,-61.17,336442.57,0
9005.71,2000.0,10.38,91.58,-60.91,338442.57,0
9007.01,2000.0,9.3,91.17,-57.81,340442.57,0
8995.05,2000.0,9.72,90.2,-60.5,342442.57,2
8992.25,2000.0,10.03,87.88,-59.53,344442.57,0
8995.4,2000.0,10.77,88.43,-60.32,346442.57,2
9004.07,2000.0,9.38,90.45,-58.69,348442.57,5
8991.96,2000.0,10.09,90.52,-59.22,350442.57,0
8993.82,2000.0,9.34,91.04,-59.7,352442.57,2
9001.25,2000.0,10.17,88.64,-59.77,354442.57,4
9001.47,2000.0,9.64,93.73,-59.53,356442.57,4
8994.04,2000.0,10.33,88.05,-59.21,358442.57,2
9005.79,2000.0,9.59,91.93,-59.59,360442.57,0
8995.66,2000.0,10.07,87.26,-60.77,1315225.78,2
9004.39,2000.0,9.88,92.42,-59.46,1317225.78,5
9013.67,2000.0,10.05,87.19,-60.03,1319225.78,0
8995.18,2000.0,10.49,90.08,-60.14,1321225.78,2
8999.38,2000.0,10.37,89.1,-59.22,1323225.78,4
9005.23,2000.0,9.83,88.15,-60.51,1325225.78,0
9003.55,2000.0,10.05,91.26,-58.24,1327225.78,5
9001.15,2000.0,9.6,92.11,-59.95,1329225.78,4
9004.36,2000.0,10.53,88.08,-58.62,1331225.78,5
9004.53,2000.0,9.7,90.61,-59.74,1333225.78,5
9000.12,2000.0,10.44,92.87,-59.99,1335225.78,4
9006.65,2000.0,10.49,90.46,-59.82,1337225.78,0
8994.24,2000.0,9.25,90.33,-60.86,1339225.78,2
8999.8,2000.0,9.73,86.42,-59.64,1341225.78,4
8997.93,2000.0,10.04,88.21,-60.33,1343225.78,3
9007.8,2000.0,10.06,91.1,-61.27,1345225.78,0
9011.95,2000.0,10.92,92.73,-59.17,1347225.78,0
9000.08,2000.0,10.22,92.1,-60.63,1349225.78,4
8997.78,2000.0,9.17,88.46,-58.34,1351225.78,3
8998.33,2000.0,9.84,90.64,-61.61,1353225.78,3
