freq_MHz,pri_us,pw_us,doa_deg,amp_dB,toa_us,toa_hms
9004.58,2000.0,10.16,88.94,-59.49,322442.57,00:00:00
9000.49,2000.0,10.48,88.6,-60.33,324442.57,00:00:00
8998.04,2000.0,9.27,90.59,-59.74,326442.57,00:00:00
9000.03,2000.0,9.88,87.17,-60.42,328442.57,00:00:00
8998.29,2000.0,9.6,89.68,-59.6,330442.57,00:00:00
9009.43,2000.0,10.09,90.52,-60.07,332442.57,00:00:00
8990.41,2000.0,9.99,90.12,-57.54,334442.57,00:00:00
8999.04,2000.0,10.15,89.93,-61.17,336442.57,00:00:00
9005.71,2000.0,10.38,91.58,-60.91,338442.57,00:00:00
9007.01,2000.0,9.3,91.17,-57.81,340442.57,00:00:00
8995.05,2000.0,9.72,90.2,-60.5,342442.57,00:00:00
8992.25,2000.0,10.03,87.88,-59.53,344442.57,00:00:00
8995.4,2000.0,10.77,88.43,-60.32,346442.57,00:00:00
9004.07,2000.0,9.38,90.45,-58.69,348442.57,00:00:00
8991.96,2000.0,10.09,90.52,-59.22,350442.57,00:00:00
8993.82,2000.0,9.34,91.04,-59.7,352442.57,00:00:00
9001.25,2000.0,10.17,88.64,-59.77,354442.57,00:00:00
9001.47,2000.0,9.64,93.73,-59.53,356442.57,00:00:00
8994.04,2000.0,10.33,88.05,-59.21,358442.57,00:00:00
9005.79,2000.0,9.59,91.93,-59.59,360442.57,00:00:00
8994.44,2000.0,10.16,90.56,-58.99,749080.24,00:00:00
8997.1,2000.0,9.74,88.86,-60.92,751080.24,00:00:00
8986.94,2000.0,10.48,91.63,-61.52,753080.24,00:00:00
8997.86,2000.0,9.63,88.59,-62.14,755080.24,00:00:00
8996.85,2000.0,10.3,95.12,-59.61,757080.24,00:00:00
9000.61,2000.0,9.74,88.8,-59.05,759080.24,00:00:00
9001.46,2000.0,9.68,87.96,-60.16,761080.24,00:00:00
8997.33,2000.0,10.0,89.54,-59.61,763080.24,00:00:00
8993.67,2000.0,10.55,95.56,-58.81,765080.24,00:00:00
9001.09,2000.0,10.44,87.98,-61.58,767080.24,00:00:00
9003.87,2000.0,9.73,87.31,-60.88,769080.24,00:00:00
8994.35,2000.0,10.07,91.16,-59.11,771080.24,00:00:00
9004.47,2000.0,10.38,89.59,-60.62,773080.24,00:00:00
8992.46,2000.0,10.55,89.64,-60.41,775080.24,00:00:00
9005.9,2000.0,9.55,91.67,-59.7,777080.24,00:00:00
8994.81,2000.0,9.96,91.95,-59.2,779080.24,00:00:00
9007.48,2000.0,10.17,96.74,-60.92,781080.24,00:00:00
8998.01,2000.0,9.97,87.16,-58.96,783080.24,00:00:00
9004.52,2000.0,10.01,88.93,-61.5,785080.24,00:00:00
8996.05,2000.0,10.37,89.58,-60.43,787080.24,00:00:00
8995.66,2000.0,10.07,58.26,-60.77,1315225.78,00:00:01
9004.39,2000.0,9.88,63.42,-59.46,1317225.78,00:00:01
9013.67,2000.0,10.05,58.19,-60.03,1319225.78,00:00:01
8995.18,2000.0,10.49,61.08,-60.14,1321225.78,00:00:01
8999.38,2000.0,10.37,60.1,-59.22,1323225.78,00:00:01
9005.23,2000.0,9.83,59.15,-60.51,1325225.78,00:00:01
9003.55,2000.0,10.05,62.26,-58.24,1327225.78,00:00:01
9001.15,2000.0,9.6,63.11,-59.95,1329225.78,00:00:01
9004.36,2000.0,10.53,59.08,-58.62,1331225.78,00:00:01
9004.53,2000.0,9.7,61.61,-59.74,1333225.78,00:00:01
9000.12,2000.0,10.44,63.87,-59.99,1335225.78,00:00:01
9006.65,2000.0,10.49,61.46,-59.82,1337225.78,00:00:01
8994.24,2000.0,9.25,61.33,-60.86,1339225.78,00:00:01
8999.8,2000.0,9.73,57.42,-59.64,1341225.78,00:00:01
8997.93,2000.0,10.04,59.21,-60.33,1343225.78,00:00:01
9007.8,2000.0,10.06,62.1,-61.27,1345225.78,00:00:01
9011.95,2000.0,10.92,63.73,-59.17,1347225.78,00:00:01
9000.08,2000.0,10.22,63.1,-60.63,1349225.78,00:00:01
8997.78,2000.0,9.17,59.46,-58.34,1351225.78,00:00:01
8998.33,2000.0,9.84,61.64,-61.61,1353225.78,00:00:01
