freq_MHz,pri_us,pw_us,doa_deg,amp_dB,toa_us,Emitter_ID
11617.63,4991.11,37.75,122.48,-39.11,74295103178.15,3
8683.82,4239.29,37.56,99.8,-62.74,74295103948.53,2
10891.28,5030.34,17.1,203.69,-74.17,74295104658.37,6
9075.12,5642.39,47.35,189.93,-53.05,74295104702.75,7
10180.88,3424.8,13.69,157.5,-64.49,74295105017.82,4
9762.24,3106.12,11.76,331.63,-80.0,74295105864.8,10
9457.72,2346.24,15.81,51.08,-45.23,74295106081.5,5
10525.62,2575.71,13.4,329.31,-49.19,74295107324.95,8
11618.19,4934.94,37.82,122.38,-40.92,74295108169.25,3
8684.07,4290.07,37.61,99.8,-61.92,74295108187.82,2
9457.92,2332.56,15.75,51.39,-45.05,74295108427.74,5
10180.57,3357.87,13.6,157.18,-63.77,74295108442.62,4
9862.67,3085.23,11.88,331.36,-78.92,74295108970.92,10
10892.22,5178.9,17.02,203.71,-74.98,74295109688.71,6
10525.24,2672.66,13.47,329.17,-49.02,74295109900.66,8
11287.6,3805.92,45.26,213.71,-67.12,74295110181.54,1
9075.48,5582.07,47.33,190.08,-52.92,74295110345.13,7
9457.71,2320.75,15.81,51.35,-44.96,74295110760.3,5
10179.84,3393.92,13.65,157.26,-63.74,74295111800.49,4
8366.62,4536.13,36.91,290.03,-73.65,74295112044.8,9
9862.27,3095.05,11.83,331.71,-79.79,74295112056.15,10
8783.6,4134.57,37.53,100.1,-62.96,74295112477.89,2
10524.58,2791.05,13.59,329.17,-49.47,74295112573.32,8
9457.31,2306.9,15.76,50.81,-45.69,74295113081.05,5
11618.3,4898.21,37.8,122.37,-40.98,74295113104.19,3
11287.28,3801.28,45.25,213.5,-66.43,74295113987.46,1
10890.73,5343.58,17.17,204.18,-74.31,74295114867.61,6
9863.23,3097.26,11.9,331.65,-79.98,74295115151.2,10
10181.91,3423.75,13.65,157.66,-63.7,74295115194.41,4
10525.28,2822.31,13.55,329.24,-48.54,74295115364.36,8
9456.19,2346.9,15.71,51.32,-44.45,74295115387.95,5
9074.87,5684.18,47.4,189.67,-52.58,74295115927.21,7
8366.83,4524.16,37.07,290.23,-73.04,74295116580.94,9
8684.41,4223.31,37.58,100.19,-62.84,74295116612.46,2
9457.62,2333.47,15.8,51.17,-45.79,74295117734.85,5
11286.46,3813.21,45.22,213.39,-68.2,74295117788.74,1
11618.27,4852.09,37.83,122.43,-40.12,74295118002.4,3
10526.98,2892.98,13.59,329.15,-48.06,74295118186.67,8
9813.15,3092.51,11.86,331.61,-79.15,74295118248.46,10
10181.48,3358.57,13.63,157.29,-64.06,74295118618.16,4
9457.33,2334.34,15.75,51.14,-45.29,74295120068.32,5
10890.71,5481.07,17.06,204.06,-74.87,74295120211.19,6
8783.53,4106.77,37.64,99.79,-63.14,74295120835.77,2
10525.13,2620.18,13.45,329.18,-48.74,74295121079.65,8
8366.7,4467.5,36.94,290.19,-73.68,74295121105.09,9
9763.44,3088.7,11.84,331.77,-79.48,74295121340.97,10
11286.63,3801.94,45.31,213.79,-67.37,74295121601.95,1
9075.58,5708.32,47.35,189.57,-53.57,74295121611.39,7
10180.7,3407.29,13.72,157.32,-63.21,74295121976.74,4
9457.88,2357.73,15.77,51.27,-44.63,74295122402.66,5
11617.57,4891.0,37.77,122.39,-39.75,74295122854.48,3
10525.63,2738.44,13.48,328.94,-48.08,74295123699.83,8
9763.07,3115.88,11.85,331.6,-79.78,74295124429.67,10
9458.53,2311.32,15.82,50.57,-45.27,74295124760.39,5
8685.2,4154.21,37.65,99.81,-62.28,74295124942.54,2
10180.18,3370.69,13.65,157.61,-64.29,74295125384.02,4
11286.33,3798.24,45.29,213.27,-67.86,74295125403.89,1
8366.0,4538.44,36.96,289.96,-72.96,74295125572.59,9
10891.14,4983.34,17.06,204.07,-74.45,74295125692.26,6
10526.02,2710.8,13.54,329.24,-48.35,74295126438.27,8
9457.28,2332.68,15.81,51.21,-45.88,74295127071.71,5
9074.88,5589.32,47.26,189.79,-53.67,74295127319.71,7
9813.43,3134.92,11.92,331.52,-80.1,74295127545.56,10
11618.61,4929.85,37.76,122.6,-39.72,74295127745.48,3
10180.41,3427.15,13.6,157.35,-63.34,74295128754.72,4
8734.16,4241.49,37.63,99.75,-62.01,74295129096.75,2
10525.34,2790.45,13.44,329.26,-47.89,74295129149.07,8
11285.72,3815.9,45.23,213.48,-66.15,74295129202.13,1
9458.07,2318.37,15.82,51.16,-44.94,74295129404.39,5
8366.38,4493.36,36.95,290.27,-72.92,74295130111.03,9
10890.48,5177.52,17.09,204.01,-75.31,74295130675.6,6
9863.77,3067.33,11.81,331.37,-79.66,74295130680.48,10
9457.56,2343.35,15.81,51.21,-45.93,74295131722.75,5
10525.33,2909.04,13.51,329.75,-48.7,74295131939.52,8
10181.76,3367.59,13.65,157.35,-63.85,74295132181.87,4
11616.88,4864.29,37.79,122.9,-41.0,74295132675.33,3
9074.85,5707.95,47.37,189.96,-53.07,74295132909.03,7
11285.51,3750.03,45.25,213.28,-66.91,74295133018.02,1
8685.16,4164.23,37.53,100.0,-62.13,74295133338.25,2
9813.5,3026.48,11.9,331.44,-78.75,74295133747.81,10
9457.24,2296.8,15.75,51.25,-45.21,74295134066.1,5
8367.78,4489.35,36.8,290.15,-73.53,74295134604.39,9
10525.86,2623.7,13.48,329.1,-47.83,74295134848.56,8
10180.83,3395.0,13.66,157.58,-64.7,74295135549.45,4
10891.58,5290.38,17.03,204.26,-74.68,74295135853.12,6
9457.62,2310.7,15.76,50.6,-44.71,74295136362.9,5
11286.53,3806.96,45.21,213.37,-66.18,74295136768.06,1
9762.96,3050.26,11.83,331.99,-79.03,74295136774.29,10
10525.05,2734.87,13.5,329.26,-48.69,74295137472.27,8
8734.73,4154.63,37.6,99.89,-62.55,74295137502.47,2
11618.12,4914.48,37.78,122.09,-40.51,74295137539.62,3
9074.9,5670.45,47.35,190.05,-52.36,74295138616.97,7
9457.67,2355.0,15.81,50.76,-44.6,74295138673.61,5
10182.43,3416.29,13.62,157.5,-64.18,74295138944.46,4
8367.19,4525.4,36.94,289.9,-72.47,74295139093.74,9
9763.9,3145.65,11.89,331.83,-78.55,74295139824.55,10
10525.91,2775.42,13.55,329.45,-48.93,74295140207.14,8
11285.74,3717.68,45.31,213.38,-67.16,74295140575.02,1
9457.2,2331.09,15.86,51.09,-45.81,74295141028.61,5
10892.18,5563.06,17.15,203.99,-74.34,74295141143.5,6
8684.2,4170.65,37.55,99.65,-62.96,74295141657.11,2
10181.19,3396.45,13.72,157.53,-64.7,74295142360.75,4
11616.84,5008.57,37.87,122.66,-40.5,74295142454.09,3
9814.0,3017.96,11.91,331.41,-78.51,74295142970.2,10
10525.4,2829.76,13.56,329.33,-47.96,74295142982.56,8
9458.02,2285.49,15.81,51.27,-46.57,74295143359.7,5
8366.69,4462.98,36.97,290.08,-72.53,74295143619.14,9
9074.8,5622.11,47.39,189.58,-53.24,74295144287.42,7
11285.5,3760.72,45.36,213.35,-68.24,74295144292.7,1
9457.32,2308.79,15.82,51.17,-45.01,74295145645.19,5
10181.12,3372.21,13.61,157.66,-63.6,74295145757.2,4
10524.49,2894.88,13.46,329.46,-47.95,74295145812.32,8
8684.2,4081.23,37.65,99.61,-63.47,74295145827.75,2
9762.94,3025.88,11.89,331.98,-78.88,74295145988.15,10
10891.6,4996.01,17.12,204.23,-74.99,74295146706.55,6
11617.96,4945.82,37.72,122.71,-41.11,74295147462.67,3
9458.3,2279.74,15.79,51.35,-45.63,74295147953.98,5
11287.14,3822.57,45.22,213.57,-67.07,74295148053.42,1
8366.76,4435.19,36.95,290.06,-72.75,74295148082.13,9
10525.34,2602.89,13.58,329.02,-48.61,74295148707.2,8
9763.64,3124.09,11.9,331.82,-78.28,74295149014.03,10
10180.88,3377.09,13.69,157.47,-62.76,74295149129.4,4
8734.23,4122.05,37.65,99.95,-62.3,74295149908.98,2
9074.0,5583.99,47.38,189.93,-53.09,74295149909.53,7
9458.16,2335.95,15.87,51.14,-44.67,74295150233.72,5
10525.07,2674.4,13.46,328.82,-47.88,74295151310.1,8
10891.22,5187.71,17.09,204.23,-74.66,74295151702.56,6
11286.31,3842.79,45.26,213.51,-66.6,74295151875.99,1
9813.2,2993.01,11.9,331.93,-78.62,74295152138.12,10
11616.72,4907.85,37.77,122.54,-40.44,74295152408.48,3
10181.27,3447.78,13.7,157.03,-64.06,74295152506.49,4
8366.67,4561.59,36.95,289.85,-72.68,74295152517.32,9
9458.29,2303.15,15.71,51.43,-46.14,74295152569.67,5
10525.04,2756.98,13.51,329.57,-47.46,74295153984.5,8
8735.42,4188.21,37.57,99.66,-62.67,74295154031.03,2
9457.72,2325.93,15.75,50.95,-45.87,74295154872.81,5
9862.88,3092.89,11.91,331.88,-80.32,74295155131.14,10
9074.51,5601.39,47.3,189.85,-52.93,74295155493.53,7
11285.22,3730.4,45.19,213.89,-67.29,74295155718.78,1
10180.54,3368.5,13.71,157.42,-63.27,74295155954.27,4
10524.69,2773.3,13.5,329.02,-48.64,74295156741.48,8
10891.08,5266.18,17.0,204.04,-74.43,74295156890.27,6
8367.17,4585.98,37.02,289.98,-74.26,74295157078.91,9
9457.15,2338.88,15.86,50.87,-45.22,74295157198.74,5
11617.37,4934.58,37.8,122.2,-39.16,74295157316.33,3
8684.2,4210.34,37.66,99.74,-62.9,74295158219.24,2
9862.73,3040.32,11.92,331.37,-78.98,74295158224.02,10
10180.36,3466.98,13.66,157.39,-63.36,74295159322.77,4
11286.42,3771.42,45.31,213.38,-67.89,74295159449.18,1
10525.49,2902.88,13.46,329.11,-48.62,74295159514.78,8
9458.07,2348.51,15.83,51.12,-45.25,74295159537.62,5
9074.96,5645.01,47.34,190.1,-53.63,74295161094.92,7
9863.44,3071.09,11.85,331.84,-78.93,74295161264.34,10
8366.71,4557.27,36.9,289.79,-73.84,74295161664.89,9
9457.8,2347.59,15.82,51.09,-45.43,74295161886.13,5
10890.41,5532.53,17.09,204.18,-74.77,74295162156.45,6
11617.72,4936.33,37.78,122.73,-40.88,74295162250.91,3
10525.5,2609.8,13.44,329.63,-47.98,74295162417.66,8
8784.42,4211.28,37.62,99.63,-62.35,74295162429.58,2
10181.1,3425.48,13.64,157.07,-63.01,74295162789.76,4
11285.92,3790.45,45.29,213.57,-66.93,74295163220.61,1
9457.58,2294.48,15.85,51.27,-45.63,74295164233.72,5
9813.4,3046.57,11.9,331.93,-79.34,74295164335.44,10
10525.98,2717.67,13.54,328.9,-47.98,74295165027.46,8
10180.48,3450.15,13.71,157.4,-62.4,74295166215.24,4
8366.42,4455.24,37.05,290.25,-73.65,74295166222.17,9
9457.49,2308.1,15.78,51.12,-44.96,74295166528.2,5
8684.72,4159.48,37.66,99.42,-62.89,74295166640.86,2
9074.71,5633.3,47.43,189.97,-52.43,74295166739.93,7
